PSNR,init_snr,init_sd,iter,sum
-2.117451914213306,-1.0,2.0,32.0,141094944.0
-2.1145841696759082,-1.0,2.0,64.0,141096480.0
-2.110994737253816,-1.0,2.0,128.0,141078064.0
-2.10834422980937,-1.0,2.0,256.0,141059776.0
-2.108127401771652,-1.0,2.0,512.0,141050304.0
-2.1112755241311016,-1.0,2.0,1024.0,141042688.0
-2.118154737494797,-1.0,0.0,0.0,140898727.50755358
-2.121255198350571,-1.0,0.0,8.0,141027248.0
-2.1188709123697507,-1.0,0.0,16.0,141057424.0
-2.116506324719975,-1.0,0.0,32.0,141079248.0
-2.1134137165835805,-1.0,0.0,64.0,141075392.0
-2.1096072300321174,-1.0,0.0,128.0,141047936.0
-2.1071233033962105,-1.0,0.0,256.0,141018464.0
-2.108035522219018,-1.0,0.0,512.0,140998016.0
-2.114177816635912,-1.0,0.0,1024.0,140980960.0
-0.11589011450688042,0.0,25.0,0.0,112191598.67924368
-0.11882176906755365,0.0,25.0,8.0,112317424.0
-0.11422543682493408,0.0,25.0,16.0,112347944.0
-0.1096485843386938,0.0,25.0,32.0,112370432.0
-0.10413578277175259,0.0,25.0,64.0,112368472.0
-0.09722510487145139,0.0,25.0,128.0,112345008.0
-0.0905838738440138,0.0,25.0,256.0,112320912.0
-0.08546387233834674,0.0,25.0,512.0,112306624.0
-0.08102124141533655,0.0,25.0,1024.0,112296096.0
-0.11595296880129237,0.0,20.0,0.0,112192708.46875659
-0.11890311368124269,0.0,20.0,8.0,112318536.0
-0.11430316620945888,0.0,20.0,16.0,112349008.0
-0.10970892795038113,0.0,20.0,32.0,112371304.0
-0.10417712303917769,0.0,20.0,64.0,112369152.0
-0.09725244355990738,0.0,20.0,128.0,112345568.0
-0.09061896341980996,0.0,20.0,256.0,112321576.0
-0.0855426504766987,0.0,20.0,512.0,112307616.0
-0.0811829536244469,0.0,20.0,1024.0,112297360.0
-0.115730838954152,0.0,15.0,0.0,112188905.52369916
-0.11864481285995958,0.0,15.0,8.0,112314832.0
-0.11405516759740023,0.0,15.0,16.0,112345248.0
-0.10947787089605651,0.0,15.0,32.0,112367472.0
-0.10398075326405937,0.0,15.0,64.0,112365248.0
-0.09712848909852488,0.0,15.0,128.0,112341736.0
-0.09062481165487879,0.0,15.0,256.0,112317960.0
-0.08576407326668938,0.0,15.0,512.0,112304032.0
-0.08181402653781203,0.0,15.0,1024.0,112293616.0
-0.11591849349633955,0.0,10.0,0.0,112190741.405623
-0.11879852746950754,0.0,10.0,8.0,112316864.0
-0.11421433251357709,0.0,10.0,16.0,112347320.0
-0.10967478627307668,0.0,10.0,32.0,112369864.0
-0.10425052754431452,0.0,10.0,64.0,112368128.0
-0.09751865499502721,0.0,10.0,128.0,112344872.0
-0.09124627466002712,0.0,10.0,256.0,112320720.0
-0.08682525559896462,0.0,10.0,512.0,112305576.0
-0.0837346516777576,0.0,10.0,1024.0,112293168.0
-0.11630200500915785,0.0,5.0,0.0,112191304.36572611
-0.11885610301889761,0.0,5.0,8.0,112317240.0
-0.11417520280916027,0.0,5.0,16.0,112346208.0
-0.10955012717221885,0.0,5.0,32.0,112367088.0
-0.10416228298845544,0.0,5.0,64.0,112364216.0
-0.09768957377515598,0.0,5.0,128.0,112339824.0
-0.09201035556353189,0.0,5.0,256.0,112312856.0
-0.08885722288082909,0.0,5.0,512.0,112292720.0
-0.08857000152839001,0.0,5.0,1024.0,112273792.0
-0.11692291219478301,0.0,2.0,0.0,112194115.81637539
-0.1191841106243234,0.0,2.0,8.0,112319792.0
-0.11459794357992739,0.0,2.0,16.0,112349272.0
-0.11013554395327727,0.0,2.0,32.0,112370776.0
-0.1049638381239746,0.0,2.0,64.0,112367288.0
-0.09890863469106484,0.0,2.0,128.0,112340904.0
-0.09418784653876972,0.0,2.0,256.0,112311808.0
-0.09296241157058487,0.0,2.0,512.0,112289328.0
-0.09643459729561624,0.0,2.0,1024.0,112264088.0
-0.1153633685441599,0.0,0.0,0.0,112173611.56820492
-0.1174835899621675,0.0,0.0,8.0,112299904.0
-0.11313099688846805,0.0,0.0,16.0,112332128.0
-0.10898871987347986,0.0,0.0,32.0,112356632.0
-0.10424867257210023,0.0,0.0,64.0,112356576.0
-0.09895904560203313,0.0,0.0,128.0,112335760.0
-0.09572599121860682,0.0,0.0,256.0,112314368.0
-0.09732357642829093,0.0,0.0,512.0,112300664.0
-0.1067699083581598,0.0,0.0,1024.0,112288256.0
1.819693867482083,1.0,25.0,0.0,89906830.7899815
1.818702739890835,1.0,25.0,8.0,90031696.0
1.8268461174368373,1.0,25.0,16.0,90061888.0
1.8348138710799164,1.0,25.0,32.0,90084136.0
1.8436269798185543,1.0,25.0,64.0,90082192.0
1.854076284113356,1.0,25.0,128.0,90058784.0
1.864141748458461,1.0,25.0,256.0,90034424.0
1.8720458702646119,1.0,25.0,512.0,90019816.0
1.8788907512426625,1.0,25.0,1024.0,90009104.0
1.8195817772739218,1.0,20.0,0.0,89907865.87607846
1.8185806104954145,1.0,20.0,8.0,90032848.0
1.826693583078375,1.0,20.0,16.0,90063304.0
1.8346175738176786,1.0,20.0,32.0,90085848.0
1.8433771691237508,1.0,20.0,64.0,90084208.0
1.8537763732298986,1.0,20.0,128.0,90060960.0
1.8638007010492914,1.0,20.0,256.0,90036584.0
1.8716499046674537,1.0,20.0,512.0,90021880.0
1.8783364554693607,1.0,20.0,1024.0,90011528.0
1.8198063699335387,1.0,15.0,0.0,89905813.4610753
1.8188389017117221,1.0,15.0,8.0,90030456.0
1.8269800544616022,1.0,15.0,16.0,90060768.0
1.8349153362232875,1.0,15.0,32.0,90083248.0
1.8436730428280146,1.0,15.0,64.0,90081512.0
1.854043005878672,1.0,15.0,128.0,90058288.0
