PSNR,init_snr,init_sd,iter,sum
1.9082852654532645,1.0,5.0,32.0,15351848.0
1.9195093504195881,1.0,5.0,64.0,15344384.0
1.9257338526665233,1.0,5.0,128.0,15336846.0
1.92159757003689,1.0,5.0,256.0,15330792.0
1.8999826108708255,1.0,5.0,512.0,15327470.0
1.8489842145766304,1.0,5.0,1024.0,15324898.0
1.8458791578926608,1.0,2.0,0.0,15284070.359750438
1.878425602837242,1.0,2.0,8.0,15355969.0
1.8920658769809968,1.0,2.0,16.0,15358204.0
1.9062893909911252,1.0,2.0,32.0,15352418.0
1.9156904392023515,1.0,2.0,64.0,15343640.0
1.9171750420660871,1.0,2.0,128.0,15334221.0
1.9018178689277327,1.0,2.0,256.0,15325932.0
1.8566024766154654,1.0,2.0,512.0,15320493.0
1.7563498068234138,1.0,2.0,1024.0,15316333.0
1.8448364807105078,1.0,0.0,0.0,15279334.687220972
1.8803221027675305,1.0,0.0,8.0,15352668.0
1.893382096014682,1.0,0.0,16.0,15354888.0
1.9061481792376669,1.0,0.0,32.0,15349000.0
1.9127078222299676,1.0,0.0,64.0,15339495.0
1.9089990314871281,1.0,0.0,128.0,15327854.0
1.882654128297265,1.0,0.0,256.0,15315657.0
1.8141705639160648,1.0,0.0,512.0,15305600.0
1.6642719576738951,1.0,0.0,1024.0,15297124.0
8.95092519542456,5.0,25.0,0.0,7551681.872578109
9.248007070892132,5.0,25.0,8.0,7615454.0
9.332716646945757,5.0,25.0,16.0,7620154.0
9.412285509206846,5.0,25.0,32.0,7618221.5
9.467451485393877,5.0,25.0,64.0,7613735.5
9.50877287596158,5.0,25.0,128.0,7608261.0
9.533465990964466,5.0,25.0,256.0,7603005.5
9.529518517265343,5.0,25.0,512.0,7599060.0
9.453702404426796,5.0,25.0,1024.0,7595459.0
8.950998706855506,5.0,20.0,0.0,7551236.755570164
9.248583353844783,5.0,20.0,8.0,7614948.5
9.332890019149948,5.0,20.0,16.0,7619752.5
9.41185047477505,5.0,20.0,32.0,7618008.0
9.466100245556909,5.0,20.0,64.0,7613855.5
9.50599410335612,5.0,20.0,128.0,7608866.0
9.528551550578621,5.0,20.0,256.0,7604184.0
9.521129527080321,5.0,20.0,512.0,7600748.0
9.438439902173164,5.0,20.0,1024.0,7597414.5
8.949443476710774,5.0,15.0,0.0,7551030.141736475
9.249456643552023,5.0,15.0,8.0,7614682.5
9.333818830066654,5.0,15.0,16.0,7619482.0
9.412219242870751,5.0,15.0,32.0,7617724.5
9.465076884083143,5.0,15.0,64.0,7613557.5
9.502221101237698,5.0,15.0,128.0,7608605.0
9.519135840330048,5.0,15.0,256.0,7604082.5
9.500611584012216,5.0,15.0,512.0,7601130.5
9.398090584881473,5.0,15.0,1024.0,7598908.0
8.943995813438647,5.0,10.0,0.0,7551877.57645653
9.246908619472375,5.0,10.0,8.0,7615682.0
9.331100455926467,5.0,10.0,16.0,7620317.0
9.40919470548847,5.0,10.0,32.0,7618265.5
9.46081602663319,5.0,10.0,64.0,7613529.5
9.493004808065344,5.0,10.0,128.0,7607687.0
9.495620455522161,5.0,10.0,256.0,7602178.0
9.447072136872404,5.0,10.0,512.0,7598319.0
9.28849669153829,5.0,10.0,1024.0,7594996.0
8.932807040421345,5.0,5.0,0.0,7551625.209535971
9.24620301496575,5.0,5.0,8.0,7615483.0
9.327031127309752,5.0,5.0,16.0,7620274.5
9.397644253439125,5.0,5.0,32.0,7618575.0
9.434986179725739,5.0,5.0,64.0,7614491.0
9.441823437617474,5.0,5.0,128.0,7609382.0
9.39634203186084,5.0,5.0,256.0,7604378.5
9.252416748692863,5.0,5.0,512.0,7601222.0
8.909495844892733,5.0,5.0,1024.0,7599964.0
8.919639987238384,5.0,2.0,0.0,7548229.796791422
9.25038720943616,5.0,2.0,8.0,7612582.0
9.331336786317394,5.0,2.0,16.0,7617262.0
9.399426981845668,5.0,2.0,32.0,7615258.5
9.426346527672608,5.0,2.0,64.0,7610950.5
9.403210266627443,5.0,2.0,128.0,7606657.0
